Age,Gender,Weight (kg),Height (m),BMI,BMI_Status,Fat_Percentage,Fat_Status,Workout_Frequency (days/week),Interpretation
34,Female,68.4,1.5,30.4,Obesity,33.7,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
55,Male,63.5,1.86,18.35,Underweight,22.9,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
24,Female,59.4,1.5,26.4,Overweight,25.0,Healthy,3,High muscle mass
30,Male,113.4,1.91,31.08,Obesity,22.2,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
57,Female,61.9,1.52,26.79,Overweight,28.4,Healthy,3,High muscle mass
59,Female,70.7,1.68,25.05,Overweight,34.9,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
26,Male,111.5,1.9,30.89,Obesity,25.2,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
44,Female,72.1,1.66,26.16,Overweight,27.0,Healthy,2,High muscle mass
19,Male,56.9,1.87,16.27,Underweight,23.3,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
22,Male,86.2,1.9,23.88,Normal weight,11.7,Healthy,5,Healthy body composition
46,Male,59.4,1.68,21.05,Normal weight,20.2,Healthy,4,Healthy body composition
54,Female,75.6,1.72,25.55,Overweight,26.4,Healthy,3,High muscle mass
55,Female,76.3,1.73,25.49,Overweight,32.0,Healthy,3,High muscle mass
36,Male,95.8,1.86,27.69,Overweight,21.2,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
25,Male,120.6,1.83,36.01,Obesity,22.3,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
18,Female,65.3,1.55,27.18,Overweight,28.5,Healthy,3,High muscle mass
39,Male,85.3,1.89,23.88,Normal weight,27.6,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
34,Male,68.0,1.68,24.09,Normal weight,25.8,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
24,Female,52.6,1.57,21.34,Normal weight,31.9,Healthy,2,Healthy body composition
42,Male,63.3,1.77,20.2,Normal weight,25.7,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
21,Female,76.3,1.65,28.03,Overweight,31.8,Healthy,3,High muscle mass
53,Male,61.0,1.63,22.96,Normal weight,20.0,Healthy,3,Healthy body composition
23,Female,67.8,1.61,26.16,Overweight,34.3,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
48,Male,114.9,1.86,33.21,Obesity,21.1,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
36,Male,88.0,1.71,30.09,Obesity,12.0,Healthy,5,High muscle mass
56,Female,67.7,1.58,27.12,Overweight,32.7,Healthy,2,High muscle mass
44,Male,124.8,1.85,36.46,Obesity,24.4,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
27,Female,53.0,1.58,21.23,Normal weight,34.5,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
43,Male,61.2,1.88,17.32,Underweight,24.7,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
36,Female,48.7,1.68,17.25,Underweight,33.7,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
56,Female,50.6,1.7,17.51,Underweight,33.1,High Fat (Consider reducing fat),2,Gain muscle mass and reduce body fat
20,Female,72.6,1.73,24.26,Normal weight,34.8,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
30,Female,70.4,1.56,28.93,Overweight,34.3,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
45,Male,52.5,1.88,14.85,Underweight,29.0,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
37,Male,76.3,1.77,24.35,Normal weight,27.3,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
45,Female,41.2,1.58,16.5,Underweight,28.7,Healthy,2,Gain muscle mass
25,Female,55.3,1.76,17.85,Underweight,15.5,Low Fat (Consider increasing fat),4,Gain muscle mass and body fat
58,Female,49.7,1.67,17.82,Underweight,31.9,Healthy,4,Gain muscle mass
56,Male,48.3,1.87,13.81,Underweight,29.8,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
18,Male,83.2,1.96,21.66,Normal weight,13.6,Healthy,4,Healthy body composition
20,Male,120.5,1.73,40.26,Obesity,29.3,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
30,Male,121.6,2.0,30.4,Obesity,28.0,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
45,Female,73.0,1.75,23.84,Normal weight,26.6,Healthy,4,Healthy body composition
42,Female,57.5,1.67,20.62,Normal weight,16.2,Low Fat (Consider increasing fat),5,Lean Body
50,Female,42.7,1.53,18.24,Underweight,28.4,Healthy,4,Gain muscle mass
55,Male,129.9,1.73,43.4,Obesity,21.7,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
23,Male,108.6,1.92,29.46,Overweight,25.8,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
49,Male,88.6,2.0,22.15,Normal weight,14.9,Healthy,4,Healthy body composition
38,Female,49.7,1.51,21.8,Normal weight,32.6,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
33,Female,56.4,1.54,23.78,Normal weight,29.2,Healthy,3,Healthy body composition
38,Male,46.9,1.74,15.49,Underweight,20.0,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
28,Female,71.3,1.67,25.57,Overweight,28.1,Healthy,4,High muscle mass
54,Male,71.6,1.86,20.7,Normal weight,25.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
53,Male,82.3,1.61,31.75,Obesity,11.6,Healthy,5,High muscle mass
52,Female,70.6,1.69,24.72,Normal weight,26.1,Healthy,3,Healthy body composition
36,Male,109.8,1.62,41.84,Obesity,24.4,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
37,Female,73.5,1.69,25.73,Overweight,27.5,Healthy,2,High muscle mass
35,Male,85.6,1.85,25.01,Overweight,14.5,Healthy,5,High muscle mass
58,Female,74.6,1.68,26.43,Overweight,26.0,Healthy,4,High muscle mass
31,Female,63.2,1.8,19.51,Normal weight,25.5,Healthy,2,Healthy body composition
32,Female,62.6,1.63,23.56,Normal weight,15.0,Low Fat (Consider increasing fat),5,Lean Body
48,Male,87.1,1.76,28.12,Overweight,11.6,Healthy,5,High muscle mass
18,Male,82.3,1.84,24.31,Normal weight,13.3,Healthy,5,Healthy body composition
20,Female,64.3,1.78,20.29,Normal weight,18.7,Low Fat (Consider increasing fat),4,Lean Body
33,Female,53.7,1.66,19.49,Normal weight,29.5,Healthy,3,Healthy body composition
40,Male,63.0,2.0,15.75,Underweight,26.8,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
28,Male,128.4,1.86,37.11,Obesity,23.6,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
29,Male,88.0,1.89,24.64,Normal weight,13.3,Healthy,5,Healthy body composition
27,Female,63.7,1.52,27.57,Overweight,25.4,Healthy,4,High muscle mass
49,Male,83.7,1.87,23.94,Normal weight,23.9,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
33,Male,102.6,1.75,33.5,Obesity,27.9,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
25,Female,77.7,1.55,32.34,Obesity,33.0,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
55,Male,87.5,1.88,24.76,Normal weight,27.2,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
29,Male,87.0,1.86,25.15,Overweight,11.0,Healthy,4,High muscle mass
41,Male,82.8,1.66,30.05,Obesity,11.2,Healthy,5,High muscle mass
45,Female,65.4,1.68,23.17,Normal weight,35.0,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
25,Female,47.2,1.71,16.14,Underweight,26.0,Healthy,2,Gain muscle mass
45,Female,58.2,1.7,20.14,Normal weight,26.8,Healthy,3,Healthy body composition
53,Female,73.5,1.55,30.59,Obesity,26.3,Healthy,4,High muscle mass
43,Female,55.2,1.73,18.44,Underweight,16.6,Low Fat (Consider increasing fat),5,Gain muscle mass and body fat
25,Female,64.4,1.71,22.02,Normal weight,27.1,Healthy,3,Healthy body composition
45,Female,73.5,1.74,24.28,Normal weight,30.0,Healthy,4,Healthy body composition
45,Male,89.6,1.81,27.35,Overweight,12.4,Healthy,5,High muscle mass
54,Male,86.5,1.76,27.92,Overweight,29.0,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
58,Female,46.1,1.67,16.53,Underweight,25.3,Healthy,4,Gain muscle mass
53,Male,68.5,1.97,17.65,Underweight,23.2,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
44,Male,94.6,1.84,27.94,Overweight,26.0,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
34,Female,54.2,1.52,23.46,Normal weight,31.0,Healthy,3,Healthy body composition
26,Male,47.7,1.77,15.23,Underweight,24.8,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
50,Male,52.2,1.84,15.42,Underweight,28.2,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
37,Male,88.8,1.95,23.35,Normal weight,10.3,Healthy,5,Healthy body composition
30,Male,101.0,1.68,35.79,Obesity,28.2,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
45,Male,118.4,1.95,31.14,Obesity,24.9,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
46,Female,47.9,1.72,16.19,Underweight,26.3,Healthy,3,Gain muscle mass
30,Female,51.5,1.74,17.01,Underweight,33.9,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
52,Female,79.9,1.51,35.04,Obesity,31.5,Healthy,3,High muscle mass
23,Male,121.3,1.85,35.44,Obesity,21.6,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
35,Female,78.9,1.64,29.34,Overweight,25.3,Healthy,4,High muscle mass
22,Male,88.5,1.62,33.72,Obesity,10.7,Healthy,5,High muscle mass
42,Male,73.5,1.63,27.66,Overweight,26.1,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
19,Male,127.9,1.93,34.34,Obesity,21.8,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
27,Male,88.5,1.98,22.57,Normal weight,11.1,Healthy,4,Healthy body composition
47,Female,43.4,1.62,16.54,Underweight,25.3,Healthy,3,Gain muscle mass
22,Female,42.8,1.56,17.59,Underweight,32.2,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
50,Male,64.5,1.79,20.13,Normal weight,28.1,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
18,Female,50.7,1.53,21.66,Normal weight,33.0,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
35,Male,59.2,1.66,21.48,Normal weight,21.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
49,Female,78.9,1.73,26.36,Overweight,34.0,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
28,Female,78.7,1.63,29.62,Overweight,31.7,Healthy,3,High muscle mass
38,Male,68.7,1.92,18.64,Normal weight,29.0,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
43,Female,53.1,1.59,21.0,Normal weight,29.5,Healthy,2,Healthy body composition
42,Male,64.8,1.65,23.8,Normal weight,24.4,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
39,Female,50.3,1.61,19.41,Normal weight,32.8,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
44,Male,102.3,1.63,38.5,Obesity,20.9,Healthy,4,High muscle mass
30,Male,62.9,1.92,17.06,Underweight,25.2,High Fat (Consider reducing fat),2,Gain muscle mass and reduce body fat
50,Female,56.5,1.6,22.07,Normal weight,19.2,Low Fat (Consider increasing fat),5,Lean Body
51,Female,74.6,1.55,31.05,Obesity,33.3,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
58,Male,52.0,1.79,16.23,Underweight,29.6,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
52,Female,52.1,1.67,18.68,Normal weight,32.0,Healthy,2,Healthy body composition
18,Female,72.2,1.54,30.44,Obesity,27.1,Healthy,2,High muscle mass
38,Male,85.8,1.8,26.48,Overweight,10.1,Healthy,4,High muscle mass
23,Male,81.4,1.85,23.78,Normal weight,12.4,Healthy,4,Healthy body composition
45,Female,50.9,1.65,18.7,Normal weight,30.1,Healthy,2,Healthy body composition
34,Male,52.0,1.78,16.41,Underweight,22.4,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
22,Male,71.0,1.93,19.06,Normal weight,21.2,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
48,Male,80.6,1.77,25.73,Overweight,12.9,Healthy,4,High muscle mass
22,Female,58.3,1.72,19.71,Normal weight,32.6,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
55,Female,63.0,1.7,21.8,Normal weight,34.9,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
20,Male,111.0,1.94,29.49,Overweight,27.6,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
40,Female,52.6,1.66,19.09,Normal weight,32.9,Healthy,3,Healthy body composition
54,Male,116.4,2.0,29.1,Overweight,26.2,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
54,Female,75.6,1.61,29.17,Overweight,34.9,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
27,Male,61.6,1.8,19.01,Normal weight,26.4,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
27,Male,108.0,1.8,33.33,Obesity,28.6,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
36,Female,59.3,1.75,19.36,Normal weight,34.5,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
34,Male,75.7,1.94,20.11,Normal weight,29.3,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
38,Female,56.3,1.6,21.99,Normal weight,28.8,Healthy,4,Healthy body composition
31,Female,58.2,1.73,19.45,Normal weight,25.8,Healthy,3,Healthy body composition
26,Male,55.7,1.68,19.73,Normal weight,21.7,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
18,Male,125.9,1.67,45.14,Obesity,20.6,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
30,Female,62.7,1.67,22.48,Normal weight,26.1,Healthy,4,Healthy body composition
21,Male,86.6,1.86,25.03,Overweight,21.8,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
18,Male,64.5,1.82,19.47,Normal weight,23.4,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
57,Male,76.6,1.86,22.14,Normal weight,25.4,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
49,Male,81.4,1.83,24.31,Normal weight,13.6,Healthy,5,Healthy body composition
51,Male,60.7,1.71,20.76,Normal weight,22.1,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
45,Female,57.2,1.55,23.81,Normal weight,18.4,Low Fat (Consider increasing fat),5,Lean Body
48,Female,73.0,1.59,28.88,Overweight,32.0,Healthy,3,High muscle mass
25,Male,123.8,1.99,31.26,Obesity,25.6,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
56,Male,93.6,1.66,33.97,Obesity,29.0,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
43,Male,76.8,1.92,20.83,Normal weight,21.1,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
51,Female,54.7,1.53,23.37,Normal weight,26.8,Healthy,4,Healthy body composition
20,Male,92.3,1.94,24.52,Normal weight,24.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
29,Female,71.8,1.55,29.89,Overweight,26.3,Healthy,4,High muscle mass
18,Female,66.9,1.57,27.14,Overweight,30.7,Healthy,3,High muscle mass
22,Female,48.7,1.76,15.72,Underweight,29.0,Healthy,4,Gain muscle mass
47,Male,66.2,1.71,22.64,Normal weight,22.8,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
47,Female,40.0,1.76,12.91,Underweight,26.7,Healthy,3,Gain muscle mass
34,Male,112.4,1.85,32.84,Obesity,23.4,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
40,Female,70.0,1.55,29.14,Overweight,31.1,Healthy,3,High muscle mass
32,Male,84.0,1.74,27.74,Overweight,25.8,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
54,Female,43.8,1.65,16.09,Underweight,26.6,Healthy,4,Gain muscle mass
38,Male,123.3,1.62,46.98,Obesity,21.2,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
31,Female,57.9,1.56,23.79,Normal weight,15.1,Low Fat (Consider increasing fat),5,Lean Body
19,Male,82.4,1.96,21.45,Normal weight,10.1,Healthy,5,Healthy body composition
28,Male,84.8,1.79,26.47,Overweight,28.8,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
56,Male,109.6,1.66,39.77,Obesity,20.5,Healthy,3,High muscle mass
55,Male,86.4,1.77,27.58,Overweight,27.3,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
51,Female,63.9,1.8,19.72,Normal weight,33.7,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
55,Female,70.8,1.62,26.98,Overweight,26.0,Healthy,3,High muscle mass
51,Male,115.3,1.67,41.34,Obesity,24.4,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
35,Female,55.3,1.56,22.72,Normal weight,19.8,Low Fat (Consider increasing fat),5,Lean Body
47,Male,73.9,1.8,22.81,Normal weight,28.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
32,Male,97.3,1.96,25.33,Overweight,24.9,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
44,Female,60.4,1.65,22.19,Normal weight,32.6,Healthy,4,Healthy body composition
51,Male,49.3,1.61,19.02,Normal weight,28.3,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
55,Male,91.8,1.78,28.97,Overweight,23.5,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
50,Female,73.6,1.55,30.63,Obesity,33.9,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
41,Male,47.1,1.78,14.87,Underweight,24.7,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
32,Male,65.2,1.62,24.84,Normal weight,25.3,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
47,Male,87.2,1.64,32.42,Obesity,15.0,Healthy,4,High muscle mass
59,Male,96.7,1.71,33.07,Obesity,28.4,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
34,Female,46.9,1.61,18.09,Underweight,28.6,Healthy,3,Gain muscle mass
22,Female,72.1,1.62,27.47,Overweight,25.1,Healthy,3,High muscle mass
46,Female,62.5,1.54,26.35,Overweight,18.1,Low Fat (Consider increasing fat),4,High muscle mass
21,Male,110.7,1.69,38.76,Obesity,27.0,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
27,Male,102.6,1.83,30.64,Obesity,26.5,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
34,Female,64.3,1.62,24.5,Normal weight,19.8,Low Fat (Consider increasing fat),5,Lean Body
27,Male,80.7,1.61,31.13,Obesity,14.3,Healthy,4,High muscle mass
34,Male,115.3,1.81,35.19,Obesity,24.5,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
37,Male,87.8,1.69,30.74,Obesity,10.3,Healthy,5,High muscle mass
41,Male,74.3,1.61,28.66,Overweight,24.8,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
22,Female,78.5,1.7,27.16,Overweight,31.9,Healthy,4,High muscle mass
51,Female,77.3,1.58,30.96,Obesity,31.1,Healthy,2,High muscle mass
23,Female,64.5,1.7,22.32,Normal weight,30.4,Healthy,2,Healthy body composition
19,Male,72.0,1.94,19.13,Normal weight,24.7,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
30,Female,77.9,1.77,24.87,Normal weight,27.9,Healthy,4,Healthy body composition
28,Female,69.6,1.58,27.88,Overweight,27.8,Healthy,3,High muscle mass
40,Male,68.9,1.99,17.4,Underweight,25.0,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
33,Male,45.9,1.89,12.85,Underweight,21.6,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
48,Female,68.2,1.69,23.88,Normal weight,28.4,Healthy,3,Healthy body composition
28,Female,79.6,1.59,31.49,Obesity,28.2,Healthy,3,High muscle mass
33,Female,53.6,1.52,23.2,Normal weight,30.9,Healthy,2,Healthy body composition
25,Female,57.7,1.58,23.11,Normal weight,25.7,Healthy,3,Healthy body composition
21,Male,74.2,1.93,19.92,Normal weight,28.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
57,Female,64.4,1.56,26.46,Overweight,17.8,Low Fat (Consider increasing fat),5,High muscle mass
21,Female,54.9,1.78,17.33,Underweight,31.7,Healthy,2,Gain muscle mass
42,Male,50.3,1.64,18.7,Normal weight,27.0,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
20,Female,46.5,1.68,16.48,Underweight,27.9,Healthy,2,Gain muscle mass
49,Male,57.8,1.99,14.6,Underweight,24.7,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
20,Male,83.0,1.8,25.62,Overweight,29.6,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
44,Male,82.5,1.79,25.75,Overweight,13.8,Healthy,5,High muscle mass
46,Female,66.5,1.73,22.22,Normal weight,34.7,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
49,Female,70.2,1.67,25.17,Overweight,32.5,Healthy,3,High muscle mass
36,Male,121.9,1.93,32.73,Obesity,21.8,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
38,Female,70.3,1.52,30.43,Obesity,25.6,Healthy,4,High muscle mass
22,Female,40.3,1.56,16.56,Underweight,30.8,Healthy,4,Gain muscle mass
35,Male,101.4,1.76,32.74,Obesity,23.6,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
45,Male,79.2,1.95,20.83,Normal weight,22.8,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
59,Female,75.8,1.77,24.19,Normal weight,33.1,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
39,Male,71.7,1.88,20.29,Normal weight,23.7,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
38,Female,57.7,1.56,23.71,Normal weight,16.6,Low Fat (Consider increasing fat),5,Lean Body
23,Female,47.4,1.6,18.52,Normal weight,33.5,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
18,Female,57.2,1.75,18.68,Normal weight,33.5,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
22,Female,44.8,1.72,15.14,Underweight,28.6,Healthy,4,Gain muscle mass
58,Male,90.2,1.72,30.49,Obesity,28.3,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
29,Male,84.9,1.72,28.7,Overweight,14.3,Healthy,4,High muscle mass
43,Male,95.7,1.77,30.55,Obesity,24.2,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
51,Male,59.0,1.65,21.67,Normal weight,20.7,Healthy,3,Healthy body composition
31,Female,60.5,1.77,19.31,Normal weight,15.0,Low Fat (Consider increasing fat),4,Lean Body
43,Female,53.8,1.72,18.19,Underweight,30.2,Healthy,4,Gain muscle mass
44,Male,86.6,1.97,22.31,Normal weight,11.7,Healthy,5,Healthy body composition
26,Female,72.8,1.67,26.1,Overweight,35.0,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
43,Female,66.3,1.77,21.16,Normal weight,32.7,Healthy,4,Healthy body composition
39,Female,56.0,1.6,21.87,Normal weight,32.6,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
47,Male,45.9,1.93,12.32,Underweight,29.6,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
34,Male,88.0,1.64,32.72,Obesity,14.4,Healthy,4,High muscle mass
43,Male,94.0,1.79,29.34,Overweight,23.2,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
53,Female,44.7,1.79,13.95,Underweight,26.7,Healthy,3,Gain muscle mass
18,Male,63.2,1.63,23.79,Normal weight,27.5,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
25,Male,95.6,1.9,26.48,Overweight,23.8,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
52,Male,47.8,1.86,13.82,Underweight,24.7,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
32,Male,85.3,1.64,31.71,Obesity,13.2,Healthy,4,High muscle mass
39,Male,59.7,1.83,17.83,Underweight,29.1,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
31,Male,70.2,1.98,17.91,Underweight,24.2,High Fat (Consider reducing fat),2,Gain muscle mass and reduce body fat
43,Female,72.7,1.8,22.44,Normal weight,32.8,Healthy,3,Healthy body composition
45,Female,50.4,1.79,15.73,Underweight,27.7,Healthy,2,Gain muscle mass
40,Male,81.7,1.74,26.99,Overweight,27.0,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
31,Male,49.3,1.62,18.79,Normal weight,20.0,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
41,Female,61.9,1.64,23.01,Normal weight,19.4,Low Fat (Consider increasing fat),4,Lean Body
19,Female,49.1,1.68,17.4,Underweight,25.3,Healthy,4,Gain muscle mass
43,Male,66.5,1.83,19.86,Normal weight,27.1,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
31,Male,75.5,1.93,20.27,Normal weight,20.5,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
24,Male,88.2,1.79,27.53,Overweight,11.3,Healthy,4,High muscle mass
20,Male,74.8,1.75,24.42,Normal weight,25.0,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
40,Female,72.2,1.6,28.2,Overweight,29.2,Healthy,3,High muscle mass
35,Male,62.8,1.63,23.64,Normal weight,21.9,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
55,Male,84.7,1.79,26.43,Overweight,23.3,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
52,Male,116.5,1.69,40.79,Obesity,27.3,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
32,Male,77.4,1.92,21.0,Normal weight,26.7,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
42,Female,72.9,1.62,27.78,Overweight,25.7,Healthy,4,High muscle mass
54,Female,58.4,1.59,23.1,Normal weight,32.5,Healthy,2,Healthy body composition
45,Female,64.3,1.54,27.11,Overweight,15.3,Low Fat (Consider increasing fat),4,High muscle mass
27,Male,89.3,1.87,25.54,Overweight,12.7,Healthy,5,High muscle mass
56,Male,90.2,1.61,34.8,Obesity,22.6,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
34,Female,59.0,1.62,22.48,Normal weight,30.9,Healthy,4,Healthy body composition
56,Male,58.7,1.86,16.97,Underweight,22.6,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
39,Male,127.5,1.82,38.49,Obesity,29.8,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
43,Female,68.6,1.52,29.69,Overweight,28.1,Healthy,4,High muscle mass
42,Female,56.7,1.53,24.22,Normal weight,27.4,Healthy,3,Healthy body composition
34,Female,64.5,1.78,20.36,Normal weight,27.8,Healthy,4,Healthy body composition
30,Female,61.6,1.52,26.66,Overweight,19.5,Low Fat (Consider increasing fat),4,High muscle mass
37,Male,75.1,1.82,22.67,Normal weight,26.4,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
42,Male,79.3,1.93,21.29,Normal weight,27.3,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
21,Female,72.6,1.68,25.72,Overweight,34.2,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
